name,adjoe,adjde,barthag,record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UC Santa Barbara",101.15771410503,115.7622672973,0.17496134132787,3–7,3,10,49.9,53.4,40.1,30.7,17.8,15,23,30.1,67.8,51.2,53.5,31.5,35.4,7.8,6.9,48.3,43.5,32.9,33.2,67,,,,2024,,,,-5.4,75.6,71.6
"Arkansas Pine Bluff",97.175021587776,115.34599370787,0.12224295253312,3–7,3,10,52.2,47.5,33,30.6,19.2,12.9,24,30.3,72,50.2,51.2,36.1,27.6,5.6,10.8,54.9,50.2,51.3,37.2,71.4,,,,2024,,,,-6.5,74.6,72.5
"Portland St.",98.021179289157,104.15635824347,0.33222010410121,3–7,3,10,45.7,53.8,38.4,43.2,16.7,19.8,32.3,25,71.5,45.8,56,30.4,33.9,6.8,8.9,39.3,58.5,34.8,43.8,72.3,,,,2024,,,,-5.8,68.2,70.3
Indiana,109.60570446809,99.03324106383,0.76250986855516,5–5,5,10,51.8,49.3,29.6,30.6,18.2,13.5,24.4,28.7,68.8,54.1,47,30.6,34.9,12.2,5.7,62.3,54.3,27.8,42.2,69.2,,,,2024,,,,0.1,65.9,76.5
"North Carolina St.",121.3167,101.38409,0.88736616199663,7–3,7,10,53,50.1,37.5,22.6,13.7,14.1,29.1,29.9,66.5,52,51,36.9,32.4,12,7,49.1,53.1,30.6,39.3,66.7,,,,2024,,,,2.2,75.5,76.8
"Central Michigan",93.549370874705,103.47623508274,0.2387026416611,5–5,5,10,44.1,43,27.4,28.1,15.6,14.4,29.3,33.3,64.1,45.8,39.1,27.6,32.5,12.6,12.2,45.9,51.5,39.9,40,64.3,,,,2024,,,,-3.9,62.2,73.7
Brown,108.37435574468,102.08277978723,0.6654741319021,7–3,7,10,54,51.4,28.4,29.5,19.5,17.9,33.4,28,66.7,50.3,54.6,39.3,31.3,10.9,7.9,60,56.2,43.3,41.5,67.7,,,,2024,,,,-0.6,68.5,70.8
"Wright St.",114.27648270973,112.27760615655,0.55055991448395,6–4,6,10,58,55,36.3,27.1,17,17.3,30.2,25.2,72.9,59,54.6,37.3,37.1,6.4,6.3,53.3,41.9,32.9,37.8,72.6,,,,2024,,,,-2.9,73.4,73.5
"UC Irvine",112.66097139294,106.28476715357,0.66150370422759,6–4,6,10,51.5,49.9,38.5,38.2,14.5,15.9,33.2,25.9,70.7,52.9,47.4,32,37.1,5.8,9,50.3,49.4,27.5,30.2,70.1,,,,2024,,,,-2.3,75.1,72.4
Furman,109.78701500751,107.61423417669,0.55721759392983,5–5,5,10,51.3,52.5,32.5,31.7,14.6,15.5,27.8,25.7,67.7,55.4,52.6,31.5,34.8,7.6,12.5,54.7,46.7,50.2,34.6,66.8,,,,2024,,,,-3,74.1,68.5
